,Position_Title,Department,Employee_Annual_Salary
24284,POLICE OFFICER,POLICE,80724.0
24285,ASST CORPORATION COUNSEL,LAW,57192.0
24286,POLICE OFFICER,POLICE,43104.0
24287,SENIOR DATA ENTRY OPERATOR,CITY CLERK,50280.0
24288,DETENTION AIDE,POLICE,46656.0
24289,SENIOR TELECOMMUNICATIONS SPECIALIST,DoIT,76428.0
24290,POLICE OFFICER,POLICE,78012.0
24291,POLICE OFFICER,POLICE,78012.0
24292,POLICE OFFICER,POLICE,75372.0
24293,PARAMEDIC I/C,FIRE,81672.0
24294,CONSTRUCTION LABORER,WATER MGMNT,76960.0
24295,COORD OF ECONOMIC DEVELOPMENT,COMMUNITY DEVELOPMENT,84780.0
24296,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,91353.6
24297,SENIOR COMPANION,FAMILY & SUPPORT,2756.0
24298,PROJECTS ADMINISTRATOR,AVIATION,96456.0
24299,PROJECTS ADMINISTRATOR,HEALTH,112692.0
24300,POLICE OFFICER,POLICE,86130.0
24301,SHIFT SUPVSR OF SECURITY COMMUNICATIONS CENTER,OEMC,59796.0
24302,POLICE OFFICER,POLICE,80724.0
24303,DEPUTY COMMISSIONER,PUBLIC LIBRARY,120000.0
24304,PAYMENT SERVICES REPRESENTATIVE,FINANCE,63456.0
24305,CONSTRUCTION LABORER,WATER MGMNT,76960.0
24306,FINANCE OFFICER,TRANSPORTN,81876.0
24307,ASST CHIEF OPERATING ENGINEER,WATER MGMNT,105892.8
24308,POLICE OFFICER,POLICE,80724.0
24309,FIREFIGHTER-EMT,FIRE,81906.0
24310,CROSSING GUARD,POLICE,19895.2
24311,WATER CHEMIST II,WATER MGMNT,59268.0
24312,POLICE OFFICER,POLICE,80724.0
24313,POLICE COMMUNICATIONS OPERATOR II,OEMC,66552.0
24314,POLICE OFFICER,POLICE,80724.0
24315,POLICE COMMUNICATIONS OPERATOR I,OEMC,66552.0
24316,RESIDENT SERVICES COORD I,FAMILY & SUPPORT,56472.0
24317,POLICE OFFICER,POLICE,71748.0
24318,ADMINISTRATIVE ASST II,WATER MGMNT,63456.0
24319,SERGEANT,POLICE,102564.0
24320,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
24321,POLICE OFFICER,POLICE,78012.0
24322,SUPERVISING INVESTIGATOR - IPRA,IPRA,92988.0
24323,POLICE OFFICER,POLICE,80724.0
24324,MANAGER OF BUILDINGS SERVICES,CULTURAL AFFAIRS,69684.0
24325,ATTORNEY,WATER MGMNT,83136.0
24326,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
24327,SERGEANT,POLICE,105864.0
24328,PARAMEDIC FIELD CHIEF,FIRE,126402.0
24329,POLICE COMMUNICATIONS OPERATOR II,OEMC,53628.0
24330,POLICE OFFICER,POLICE,78012.0
24331,FIREFIGHTER-EMT,FIRE,84762.0
24332,PARAMEDIC,FIRE,65016.0
24333,FIREFIGHTER-EMT,FIRE,79140.0
24334,SENIOR DATA ENTRY OPERATOR,POLICE,55212.0
24335,ADMINISTRATIVE ASST II - EXCLUDED,FINANCE,55044.0
24336,PROJECT MANAGER,HEALTH,105000.0
24337,POLICE OFFICER,POLICE,75372.0
24338,POLICE OFFICER,POLICE,80724.0
24339,ASST CORPORATION COUNSEL SUPVSR,LAW,86376.0
24340,FINGERPRINT TECHNICIAN II,POLICE,60600.0
24341,BOOTER - PARKING,FINANCE,63440.0
24342,POLICE OFFICER,POLICE,80724.0
24343,POLICE OFFICER,POLICE,80724.0
24344,CROSSING GUARD,POLICE,19895.2
24345,CONCRETE LABORER,TRANSPORTN,76960.0
24346,SANITATION LABORER,STREETS & SAN,63876.8
24347,POLICE OFFICER,POLICE,61530.0
24348,ECONOMIC DEVELOPMENT COORD,COMMUNITY DEVELOPMENT,111996.0
24349,POLICE OFFICER,POLICE,86130.0
24350,POLICE OFFICER,POLICE,83706.0
24351,HUMAN SERVICE SPECIALIST II,FAMILY & SUPPORT,83832.0
24352,CROSSING GUARD,POLICE,19000.8
24353,POLICE OFFICER,POLICE,83706.0
24354,POLICE OFFICER,POLICE,75372.0
24355,POLICE OFFICER,POLICE,75372.0
24356,CONSUMER INVESTIGATOR II,BUSINESS AFFAIRS,59976.0
24357,ASST CORPORATION COUNSEL,LAW,57192.0
24358,POLICE OFFICER,POLICE,75372.0
24359,ADMINISTRATIVE ASST II,ADMIN HEARNG,57828.0
24360,POLICE OFFICER,POLICE,83706.0
24361,HUMAN RELATIONS INVESTIGATOR II,HUMAN RELATIONS,83640.0
24362,GRAPHIC ARTIST III,GENERAL SERVICES,73752.0
24363,POLICE OFFICER,POLICE,80724.0
24364,SUPPORT SERVICES COORD,FAMILY & SUPPORT,63456.0
24365,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
24366,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
24367,POLICE OFFICER,POLICE,78012.0
24368,SENIOR BUDGET ANALYST,BUDGET & MGMT,80256.0
24369,CONSTRUCTION LABORER,WATER MGMNT,76960.0
24370,SUPPORT SERVICES COORD,FAMILY & SUPPORT,59976.0
24371,MACHINIST,WATER MGMNT,91353.6
24372,STUDENT INTERN,COMMUNITY DEVELOPMENT,18200.0
24373,LABORER,TRANSPORTN,76960.0
24374,CONSTRUCTION LABORER,WATER MGMNT,76960.0
24375,OPERATING ENGINEER-GROUP A,WATER MGMNT,96262.4
24376,COOLING PLANT INSPECTOR,BUILDINGS,97760.04
24377,POLICE OFFICER,POLICE,80724.0
24378,LIBRARY ASSOCIATE,PUBLIC LIBRARY,62916.0
24379,POLICE OFFICER,POLICE,80724.0
24380,LIEUTENANT-EMT,FIRE,101484.0
24381,LIBRARY PAGE,PUBLIC LIBRARY,11627.2
24382,SENIOR DATA ENTRY OPERATOR,POLICE,50280.0
24383,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
24384,FIREFIGHTER,FIRE,87324.0
24385,POOL MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
24386,POLICE OFFICER,POLICE,83706.0
24387,SANITATION LABORER,STREETS & SAN,70969.6
24388,FOSTER GRANDPARENT,FAMILY & SUPPORT,2756.0
24389,MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
24390,PUBLIC RELATIONS REPRESENTATIVE III,PUBLIC LIBRARY,76428.0
24391,LIBRARY CLERK - HOURLY,PUBLIC LIBRARY,15215.2
24392,BRIDGE OPERATOR,TRANSPORTN,43032.0
24393,POLICE OFFICER,POLICE,83706.0
24394,POLICE OFFICER,POLICE,78012.0
24395,POLICE OFFICER,POLICE,83706.0
24396,WATER METER ASSESSOR,WATER MGMNT,83220.0
24397,OPERATING ENGINEER-GROUP C,WATER MGMNT,91457.6
24398,CONCRETE LABORER,TRANSPORTN,53872.0
24399,OPERATING ENGINEER-GROUP A,WATER MGMNT,96262.4
24400,OPERATING ENGINEER-GROUP A,WATER MGMNT,96262.4
24401,POLICE OFFICER,POLICE,83706.0
24402,MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
24403,POLICE OFFICER,POLICE,80724.0
24404,CONSTRUCTION LABORER,WATER MGMNT,76960.0
24405,SANITATION LABORER,STREETS & SAN,70969.6
24406,AVIATION SECURITY OFFICER,AVIATION,63552.0
24407,LAW CLERK,LAW,25152.4
24408,CROSSING GUARD - PER AGREEMENT,POLICE,17066.4
24409,DIR OF MENTAL HEALTH CENTER,HEALTH,76512.0
24410,PERSONAL COMPUTER OPERATOR II,CITY CLERK,50280.0
24411,POLICE COMMUNICATIONS OPERATOR I,OEMC,60648.0
24412,POLICE OFFICER,POLICE,80724.0
24413,POLICE COMMUNICATIONS OPERATOR II,OEMC,76452.0
24414,POLICE OFFICER,POLICE,80724.0
24415,ASST TO THE EXEC DIR,CULTURAL AFFAIRS,73752.0
24416,OPERATING ENGINEER-GROUP A,WATER MGMNT,96262.4
24417,SANITATION LABORER,STREETS & SAN,70969.6
24418,POLICE OFFICER,POLICE,61530.0
24419,SANITATION LABORER,STREETS & SAN,70969.6
24420,POLICE OFFICER,POLICE,78012.0
24421,POLICE OFFICER,POLICE,75372.0
24422,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
24423,POLICE OFFICER,POLICE,80724.0
24424,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
24425,SERGEANT,POLICE,105864.0
24426,LABORER - APPRENTICE,WATER MGMNT,69264.0
24427,FIREFIGHTER,FIRE,50490.0
24428,POOL MOTOR TRUCK DRIVER,STREETS & SAN,63377.6
24429,POLICE OFFICER,POLICE,80724.0
24430,PUBLIC HEALTH NURSE I,HEALTH,91692.0
24431,POLICE OFFICER,POLICE,86130.0
24432,ACCOUNTANT II,GENERAL SERVICES,62292.0
24433,PARKING ENFORCEMENT AIDE,FINANCE,43800.0
24434,POLICE COMMUNICATIONS OPERATOR I,OEMC,63552.0
24435,STAFF ASST,COMMUNITY DEVELOPMENT,68580.0
24436,CROSSING GUARD - PER AGREEMENT,POLICE,16317.6
24437,CROSSING GUARD,POLICE,18148.0
24438,POLICE OFFICER,POLICE,75372.0
24439,CLERK IV,AVIATION,55212.0
24440,SANITATION LABORER,STREETS & SAN,70969.6
24441,CONSTRUCTION LABORER,WATER MGMNT,76960.0
24442,LIBRARY CLERK,PUBLIC LIBRARY,38064.0
24443,BRIDGE OPERATOR,TRANSPORTN,57444.0
24444,SANITATION LABORER,STREETS & SAN,70969.6
24445,POLICE OFFICER,POLICE,43104.0
24446,STREET LIGHT REPAIR WORKER,TRANSPORTN,93288.0
24447,SUPERVISING ZONING PLAN EXAMINER,COMMUNITY DEVELOPMENT,84780.0
24448,LIEUTENANT-EMT,FIRE,98394.0
24449,FIREFIGHTER-EMT,FIRE,79140.0
24450,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,91353.6
24451,LABORER - APPRENTICE,WATER MGMNT,53872.0
24452,POLICE OFFICER,POLICE,75372.0
24453,POLICE OFFICER,POLICE,78012.0
24454,POLICE OFFICER,POLICE,80724.0
24455,POLICE OFFICER,POLICE,61530.0
24456,POLICE OFFICER,POLICE,75372.0
24457,POLICE OFFICER,POLICE,80724.0
24458,FIREFIGHTER,FIRE,50490.0
24459,COORD OF FIRE AWARENESS,FIRE,150264.0
24460,POLICE OFFICER,POLICE,71748.0
24461,POLICE OFFICER,POLICE,83706.0
24462,MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
24463,CHIEF CONTRACT EXPEDITER,GENERAL SERVICES,67224.0
24464,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,91353.6
24465,SENIOR PERSONNEL ASSISTANT,FAMILY & SUPPORT,63456.0
24466,POLICE OFFICER,POLICE,75372.0
24467,POLICE OFFICER,POLICE,78012.0
24468,FIREFIGHTER,FIRE,50490.0
24469,POLICE OFFICER,POLICE,80724.0
24470,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,97332.0
24471,CROSSING GUARD,POLICE,16525.6
24472,FIREFIGHTER-EMT,FIRE,79140.0
24473,LIEUTENANT,POLICE,119076.0
24474,POLICE OFFICER,POLICE,71748.0
24475,CAPTAIN-EMT,FIRE,121428.0
24476,FIREFIGHTER,FIRE,75372.0
24477,LIEUTENANT-PARAMEDIC,FIRE,107232.0
24478,POLICE OFFICER,POLICE,65016.0
24479,SERGEANT,POLICE,105864.0
24480,POLICE OFFICER,POLICE,83706.0
24481,POLICE OFFICER,POLICE,86130.0
24482,PLUMBING INSPECTOR,WATER MGMNT,98028.0
24483,PROJECTS ADMINISTRATOR,AVIATION,71088.0
24484,POLICE OFFICER,POLICE,43104.0
24485,POLICE OFFICER,POLICE,65016.0
24486,SANITATION LABORER,STREETS & SAN,70969.6
24487,POLICE OFFICER,POLICE,80724.0
24488,POLICE OFFICER,POLICE,75372.0
24489,POLICE OFFICER,POLICE,78012.0
24490,POLICE OFFICER,POLICE,43104.0
24491,SR PROGRAMMER/ANALYST PER AGRMNT,DoIT,99648.0
24492,LIBRARIAN IV,PUBLIC LIBRARY,91224.0
24493,ADMINISTRATIVE ASST II,FIRE,63456.0
24494,SANITATION CLERK,STREETS & SAN,66024.0
24495,DETENTION AIDE,POLICE,55248.0
24496,LIBRARY ASSOCIATE,PUBLIC LIBRARY,62916.0
24497,POLICE OFFICER,POLICE,83706.0
24498,POLICE OFFICER,POLICE,75372.0
24499,ASST CORPORATION COUNSEL,LAW,83400.0
24500,ASST SPECIALIST IN AGING,FAMILY & SUPPORT,55212.0
24501,LIBRARIAN IV,PUBLIC LIBRARY,91224.0
24502,SENIOR LIBRARY CLERK,PUBLIC LIBRARY,43740.0
24503,TIMEKEEPER - CPD,POLICE,57828.0
24504,FIREFIGHTER-EMT,FIRE,79140.0
24505,DEPUTY COMMISSIONER,AVIATION,110004.0
24506,LIBRARY PAGE,PUBLIC LIBRARY,11627.2
24507,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,90540.0
24508,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
24509,POLICE OFFICER,POLICE,65016.0
24510,SENIOR COMPANION,FAMILY & SUPPORT,2756.0
24511,PLUMBER,TRANSPORTN,95784.0
24512,POLICE OFFICER,POLICE,61530.0
24513,SENIOR LIBRARY CLERK,PUBLIC LIBRARY,45828.0
24514,ASST DIR OF HUMAN SERVICES,FAMILY & SUPPORT,97416.0
24515,POLICE OFFICER,POLICE,75372.0
24516,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,54288.0
24517,POLICE OFFICER,POLICE,78012.0
24518,POLICE OFFICER,POLICE,61530.0
24519,FIREFIGHTER-EMT,FIRE,79140.0
24520,SANITATION LABORER,STREETS & SAN,70969.6
24521,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
24522,POLICE OFFICER,POLICE,75372.0
24523,LIEUTENANT-EMT,FIRE,104742.0
24524,TREE TRIMMER,STREETS & SAN,73008.0
24525,ELECTRICAL MECHANIC,GENERAL SERVICES,89440.0
24526,BRIDGE OPERATOR,TRANSPORTN,49500.0
24527,POOL MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
24528,STATIONARY FIREMAN,AVIATION,63772.8
24529,PROPERTY CUSTODIAN - AUTO POUND,STREETS & SAN,55212.0
24530,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,84756.0
24531,POLICE OFFICER,POLICE,78012.0
24532,REFUSE COLLECTION COORD,STREETS & SAN,87228.0
24533,EXEC ADMINISTRATIVE ASST I,PROCUREMENT,63276.0
24534,CROSSING GUARD,POLICE,19000.8
24535,PARKING ENFORCEMENT AIDE,FINANCE,48060.0
24536,POLICE OFFICER,POLICE,75372.0
24537,POLICE OFFICER,POLICE,65016.0
24538,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
24539,ACCOUNTING TECHNICIAN II,FINANCE,57828.0
24540,POLICE OFFICER,POLICE,80724.0
24541,FIELD SERVICE SPECIALIST III,TRANSPORTN,87228.0
24542,POLICE OFFICER,POLICE,83706.0
24543,FIRE ENGINEER,FIRE,93192.0
24544,FIREFIGHTER,FIRE,83982.0
24545,SERGEANT,POLICE,102564.0
24546,STAFF ASST,FAMILY & SUPPORT,58812.0
24547,LABORER,TRANSPORTN,76960.0
24548,HOISTING ENGINEER,TRANSPORTN,93184.0
24549,POLICE OFFICER,POLICE,78012.0
24550,AVIATION SECURITY OFFICER,AVIATION,60648.0
24551,WATER METER ASSESSOR,WATER MGMNT,72456.0
24552,MACHINIST - APPRENTICE,WATER MGMNT,54808.0
24553,POLICE OFFICER,POLICE,75372.0
24554,FIREFIGHTER,FIRE,87324.0
24555,RESIDENT SERVICES COORD I,FAMILY & SUPPORT,48828.0
24556,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
24557,LABORER - APPRENTICE,WATER MGMNT,69264.0
24558,HOSPITALITY WORKER,FAMILY & SUPPORT,9516.0
24559,POLICE OFFICER,POLICE,80724.0
24560,POLICE OFFICER,POLICE,43104.0
24561,POLICE OFFICER,POLICE,86130.0
24562,SENIOR LIBRARY CLERK,PUBLIC LIBRARY,48048.0
24563,ADMINISTRATIVE ASST,MAYOR'S OFFICE,93996.0
24564,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,40368.0
24565,SENIOR DATA ENTRY OPERATOR,POLICE,55212.0
24566,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
24567,LABORER AS ESTIMATOR,WATER MGMNT,76960.0
24568,POLICE OFFICER,POLICE,75372.0
24569,CLINICAL THERAPIST III,HEALTH,68616.0
24570,BRIDGE OPERATOR,TRANSPORTN,49500.0
24571,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
24572,POLICE OFFICER,POLICE,78012.0
24573,LIEUTENANT,FIRE,102978.0
24574,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
24575,LEGISLATIVE ASST,MAYOR'S OFFICE,56592.0
24576,ELECTRICAL INSPECTOR,BUILDINGS,93840.0
24577,EMERGENCY CREW DISPATCHER,WATER MGMNT,76960.0
24578,FILTRATION ENGINEER II,WATER MGMNT,65424.0
24579,SANITATION LABORER,STREETS & SAN,70969.6
24580,REFUSE COLLECTION COORD,STREETS & SAN,79512.0
24581,POLICE OFFICER,POLICE,80724.0
24582,STOCKHANDLER,PUBLIC LIBRARY,38064.0
24583,FIREFIGHTER/PARAMEDIC,FIRE,83856.0
24584,POLICE OFFICER,POLICE,78012.0
24585,POLICE OFFICER,POLICE,80724.0
24586,POLICE OFFICER,POLICE,86130.0
24587,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
24588,STATIONARY FIREMAN,WATER MGMNT,63772.8
24589,POLICE OFFICER,POLICE,78012.0
24590,POLICE OFFICER,POLICE,75372.0
24591,POLICE OFFICER,POLICE,78012.0
24592,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
24593,FIREFIGHTER-EMT,FIRE,79140.0
24594,HOISTING ENGINEER,STREETS & SAN,95888.0
24595,POLICE OFFICER,POLICE,75372.0
24596,POLICE OFFICER,POLICE,75372.0
24597,AVIATION SECURITY OFFICER,AVIATION,66552.0
24598,SENIOR LIBRARY CLERK,PUBLIC LIBRARY,43740.0
24599,POLICE OFFICER,POLICE,83706.0
24600,POLICE OFFICER,POLICE,78012.0
24601,POLICE OFFICER,POLICE,78012.0
24602,POLICE OFFICER,POLICE,75372.0
24603,AUDITOR II,FINANCE,83640.0
24604,LIEUTENANT-EMT,FIRE,108132.0
24605,POLICE OFFICER,POLICE,80724.0
24606,POLICE OFFICER,POLICE,80724.0
24607,DISTRICT CHIEF,PUBLIC LIBRARY,101700.0
24608,AVIATION SECURITY SERGEANT,AVIATION,77280.0
24609,PARAMEDIC I/C,FIRE,93192.0
24610,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
24611,POLICE OFFICER,POLICE,83706.0
24612,PARAMEDIC,FIRE,80724.0
24613,POLICE OFFICER,POLICE,80724.0
24614,POLICE OFFICER,POLICE,75372.0
24615,POLICE OFFICER,POLICE,75372.0
24616,GENERAL MANAGER OF GROUNDS AND TERMINAL FACILITIES,AVIATION,106884.0
24617,CROSSING GUARD,POLICE,18148.0
24618,PRODUCTION ASST,CULTURAL AFFAIRS,39744.0
24619,AVIATION SECURITY OFFICER,AVIATION,57900.0
24620,DETENTION AIDE,POLICE,73032.0
24621,MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
24622,POLICE OFFICER,POLICE,83706.0
24623,POLICE OFFICER,POLICE,80724.0
24624,REVENUE INVESTIGATOR I,BUSINESS AFFAIRS,83832.0
24625,PLUMBER,WATER MGMNT,95784.0
24626,POLICE OFFICER,POLICE,83706.0
24627,POLICE OFFICER,POLICE,80724.0
24628,PROCUREMENT SPECIALIST,PROCUREMENT,70380.0
24629,SANITATION LABORER,STREETS & SAN,70969.6
24630,POLICE OFFICER,POLICE,78012.0
24631,WATER RATE TAKER,WATER MGMNT,87228.0
24632,STAFF ASST,FAMILY & SUPPORT,61620.0
24633,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
24634,ADMINISTRATIVE ASST,MAYOR'S OFFICE,75336.0
24635,PAYMENT RECONCILER,FINANCE,52740.0
24636,ADMINISTRATIVE ASST III - EXCLUDED,BUSINESS AFFAIRS,52536.0
24637,DATA ENTRY OPERATOR,POLICE,35976.0
24638,CONSTRUCTION LABORER,WATER MGMNT,76960.0
24639,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,40368.0
24640,ANIMAL CARE CLERK - HOURLY,ANIMAL CONTRL,21548.8
24641,POLICE OFFICER,POLICE,80724.0
24642,CAPTAIN-EMT,FIRE,121428.0
24643,LINEMAN,OEMC,93288.0
24644,POLICE OFFICER,POLICE,61530.0
24645,POLICE OFFICER,POLICE,75372.0
24646,POLICE OFFICER,POLICE,75372.0
24647,FIREFIGHTER-EMT,FIRE,81906.0
24648,POLICE OFFICER,POLICE,75372.0
24649,POLICE OFFICER,POLICE,75372.0
24650,POOL MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
24651,POLICE OFFICER,POLICE,80724.0
24652,POLICE OFFICER,POLICE,75372.0
24653,POLICE OFFICER,POLICE,80724.0
24654,POLICE OFFICER,POLICE,86130.0
24655,POLICE OFFICER,POLICE,80724.0
24656,SUPERVISING REHABILITATION CONSTRUCTION SPECIALIST,COMMUNITY DEVELOPMENT,73752.0
24657,PLUMBER,WATER MGMNT,95784.0
24658,POOL MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
24659,FIREFIGHTER-EMT,FIRE,79140.0
24660,SANITATION LABORER,STREETS & SAN,70969.6
24661,GARAGE ATTENDANT,GENERAL SERVICES,45676.8
24662,POLICE OFFICER,POLICE,43104.0
24663,POLICE OFFICER,POLICE,75372.0
24664,POLICE OFFICER,POLICE,86130.0
24665,POLICE OFFICER,POLICE,78012.0
24666,ELECTRICAL MECHANIC,OEMC,89440.0
24667,SANITATION LABORER,STREETS & SAN,70969.6
24668,POLICE OFFICER,POLICE,80724.0
24669,AUDITOR III,FINANCE,91224.0
24670,POLICE OFFICER,POLICE,80724.0
24671,RESIDENT SERVICES COORD I,FAMILY & SUPPORT,56472.0
24672,SANITATION LABORER,STREETS & SAN,70969.6
24673,POLICE OFFICER,POLICE,83706.0
24674,EQUIPMENT DISPATCHER,STREETS & SAN,71635.2
24675,POLICE OFFICER,POLICE,61530.0
24676,FIREFIGHTER-EMT,FIRE,88164.0
24677,POLICE OFFICER,POLICE,61530.0
24678,PROGRAM AUDITOR III,COMMUNITY DEVELOPMENT,79992.0
24679,CLERK - BD OF ELECTIONS,BOARD OF ELECTION,27912.0
24680,POLICE OFFICER,POLICE,78012.0
24681,POLICE OFFICER,POLICE,80724.0
24682,CONSTRUCTION LABORER,WATER MGMNT,76960.0
24683,POLICE OFFICER,POLICE,80724.0
24684,FIREFIGHTER/PARAMEDIC,FIRE,83856.0
24685,SANITATION LABORER,STREETS & SAN,70969.6
24686,CONSTRUCTION LABORER (SUB-FOREMAN),WATER MGMNT,78624.0
24687,POOL MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
24688,CONSTRUCTION LABORER,GENERAL SERVICES,76960.0
24689,POLICE OFFICER,POLICE,75372.0
24690,POLICE OFFICER,POLICE,65016.0
24691,POLICE OFFICER,POLICE,78012.0
24692,FIREFIGHTER-EMT,FIRE,79140.0
24693,LIEUTENANT-EMT,FIRE,98394.0
24694,LIBRARIAN IV,PUBLIC LIBRARY,91224.0
24695,GIS ANALYST,TRANSPORTN,49788.0
24696,CROSSING GUARD,POLICE,16525.6
24697,LIEUTENANT-EMT,FIRE,101484.0
24698,PROGRAMMER/ANALYST,LAW,73584.0
24699,POLICE OFFICER,POLICE,78012.0
24700,HEAD LIBRARY CLERK,PUBLIC LIBRARY,57828.0
24701,POLICE OFFICER,POLICE,78012.0
24702,POOL MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
24703,AVIATION SECURITY SERGEANT,AVIATION,67224.0
24704,POOL MOTOR TRUCK DRIVER,STREETS & SAN,56326.4
24705,HOSPITALITY WORKER,FAMILY & SUPPORT,9516.0
24706,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,50400.0
24707,POOL MOTOR TRUCK DRIVER,STREETS & SAN,56326.4
24708,POLICE OFFICER,POLICE,75372.0
24709,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
24710,POLICE OFFICER,POLICE,75372.0
24711,LIBRARIAN I,PUBLIC LIBRARY,69300.0
24712,OPERATING ENGINEER-GROUP C,AVIATION,91457.6
24713,SANITATION LABORER,STREETS & SAN,70969.6
24714,GENERAL LABORER - DSS,STREETS & SAN,41849.6
24715,POLICE OFFICER,POLICE,65016.0
24716,POLICE OFFICER,POLICE,80724.0
24717,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
24718,CONSTRUCTION LABORER,WATER MGMNT,76960.0
24719,FIRE ENGINEER-EMT,FIRE,95076.0
24720,SENIOR DATA ENTRY OPERATOR,POLICE,52740.0
24721,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,8580.0
24722,OPERATING ENGINEER-GROUP C,WATER MGMNT,91457.6
24723,SERGEANT,POLICE,109278.0
24724,LIEUTENANT-EMT,FIRE,101484.0
24725,GARAGE ATTENDANT,GENERAL SERVICES,45676.8
24726,OPERATING ENGINEER-GROUP C,WATER MGMNT,91457.6
24727,CROSSING GUARD,POLICE,18148.0
24728,ELECTRICAL MECHANIC,GENERAL SERVICES,89440.0
24729,LIBRARY PAGE,PUBLIC LIBRARY,11044.8
24730,POLICE OFFICER,POLICE,80724.0
24731,POLICE OFFICER,POLICE,78012.0
24732,POLICE OFFICER,POLICE,78012.0
24733,CARPENTER,TRANSPORTN,88441.6
24734,CLERK III,WATER MGMNT,48048.0
24735,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,71736.0
24736,CONCRETE LABORER,TRANSPORTN,76960.0
24737,CEMENT FINISHER,TRANSPORTN,88088.0
24738,POLICE OFFICER,POLICE,75372.0
24739,POLICE OFFICER,POLICE,78012.0
24740,POLICE OFFICER,POLICE,78012.0
24741,LIBRARIAN II,PUBLIC LIBRARY,76524.0
24742,OPERATING ENGINEER-GROUP C,WATER MGMNT,91457.6
24743,CEMENT FINISHER,TRANSPORTN,88088.0
24744,LEGISLATIVE AIDE,CITY COUNCIL,83136.0
24745,POLICE OFFICER,POLICE,83706.0
24746,POLICE OFFICER,POLICE,80724.0
24747,FIREFIGHTER-EMT,FIRE,79140.0
24748,ANALYST - IDT,MAYOR'S OFFICE,63204.0
24749,POLICE OFFICER,POLICE,78012.0
24750,SANITATION LABORER,STREETS & SAN,70969.6
24751,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
24752,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
24753,POLICE OFFICER,POLICE,43104.0
24754,FIREFIGHTER-EMT,FIRE,79140.0
24755,POLICE OFFICER,POLICE,61530.0
24756,STUDENT INTERN,BUDGET & MGMT,18200.0
24757,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,91353.6
24758,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
24759,FIREFIGHTER-EMT,FIRE,79140.0
24760,POLICE OFFICER,POLICE,75372.0
24761,POLICE OFFICER,POLICE,78012.0
24762,WARD SUPERINTENDENT,STREETS & SAN,88812.0
24763,OPERATING ENGINEER-GROUP A,WATER MGMNT,96262.4
24764,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
24765,POLICE OFFICER,POLICE,80724.0
24766,LABORER,AVIATION,65249.6
24767,CONSTRUCTION LABORER,WATER MGMNT,76960.0
24768,SENIOR COMPANION,FAMILY & SUPPORT,2756.0
